,0,3
1146,byw,Belhariya
1147,byx,Qaqet
1148,byy,Buya
1149,byz,Banaro
1150,bza,Bandi
1151,bzb,Andio
1152,bzc,Southern Betsimisaraka Malagasy
1153,bzd,Bribri
1154,bze,Jenaama Bozo
1155,bzf,Boikin
1156,bzg,Babuza
1157,bzh,Mapos Buang
1158,bzi,Bisu
1159,bzj,Belize Kriol English
1160,bzk,Nicaragua Creole English
1161,bzl,Boano (Sulawesi)
1162,bzm,Bolondo
1163,bzn,Boano (Maluku)
1164,bzo,Bozaba
1165,bzp,Kemberano
1166,bzq,Buli (Indonesia)
1167,bzr,Biri
1168,bzs,Brazilian Sign Language
1169,bzt,Brithenig
1170,bzu,Burmeso
1171,bzv,Naami
1172,bzw,Basa (Nigeria)
1173,bzx,Kɛlɛngaxo Bozo
1174,bzy,Obanliku
1175,bzz,Evant
1176,caa,Chortí
1177,cab,Garifuna
1178,cac,Chuj
1179,cad,Caddo
1180,cae,Lehar
1181,caf,Southern Carrier
1182,cag,Nivaclé
1183,cah,Cahuarano
1184,cai,Central American Indian languages
1185,caj,Chané
1186,cak,Kaqchikel
1187,cal,Carolinian
1188,cam,Cemuhî
1189,can,Chambri
1190,cao,Chácobo
1191,cap,Chipaya
1192,caq,Car Nicobarese
1193,car,Galibi Carib
1194,cas,Tsimané
1195,cat,Catalan
1196,cau,Caucasian languages
1197,cav,Cavineña
1198,caw,Callawalla
1199,cax,Chiquitano
1200,cay,Cayuga
1201,caz,Canichana
1202,cbb,Cabiyarí
1203,cbc,Carapana
1204,cbd,Carijona
1205,cbe,Chipiajes
1206,cbg,Chimila
1207,cbh,Cagua
1208,cbi,Chachi
1209,cbj,Ede Cabe
1210,cbk,Chavacano
1211,cbl,Bualkhaw Chin
1212,cbn,Nyahkur
1213,cbo,Izora
1214,cbq,Tsucuba
1215,cbr,Cashibo-Cacataibo
1216,cbs,Cashinahua
1217,cbt,Chayahuita
1218,cbu,Candoshi-Shapra
1219,cbv,Cacua
1220,cbw,Kinabalian
1221,cby,Carabayo
1222,cca,Cauca
1223,ccc,Chamicuro
1224,ccd,Cafundo Creole
1225,cce,Chopi
1226,ccg,Samba Daka
1227,cch,Atsam
1228,ccj,Kasanga
1229,ccl,Cutchi-Swahili
1230,ccm,Malaccan Creole Malay
1231,cco,Comaltepec Chinantec
1232,ccp,Chakma
1233,ccq,Chaungtha
1234,ccr,Cacaopera
1235,cda,Choni
1236,cde,Chenchu
1237,cdf,Chiru
1238,cdg,Chamari
1239,cdh,Chambeali
1240,cdi,Chodri
1241,cdj,Churahi
1242,cdm,Chepang
1243,cdn,Chaudangsi
1244,cdo,Min Dong Chinese
1245,cdr,Cinda-Regi-Tiyal
1246,cds,Chadian Sign Language
1247,cdy,Chadong
1248,cdz,Koda
1249,cea,Lower Chehalis
1250,ceb,Cebuano
1251,ceg,Chamacoco
1252,cek,Eastern Khumi Chin
1253,cel,Celtic languages
1254,cen,Cen
1255,ces,Czech
1256,cet,Centúúm
1257,cfa,Dijim-Bwilim
1258,cfd,Cara
1259,cfg,Como Karim
1260,cfm,Falam Chin
1261,cga,Changriwa
1262,cgc,Kagayanen
1263,cgg,Chiga
1264,cgk,Chocangacakha
1265,cha,Chamorro
1266,chb,Chibcha
1267,chc,Catawba
1268,chd,Highland Oaxaca Chontal
1269,che,Chechen
1270,chf,Tabasco Chontal
1271,chg,Chagatai
1272,chh,Chinook
1273,chj,Ojitlán Chinantec
1274,chk,Chuukese
1275,chl,Cahuilla
1276,chm,Mari (Russia)
1277,chn,Chinook jargon
1278,cho,Choctaw
1279,chp,Chipewyan
1280,chq,Quiotepec Chinantec
1281,chr,Cherokee
1282,cht,Cholón
1283,chu,Church Slavic
1284,chv,Chuvash
1285,chw,Chuwabu
1286,chx,Chantyal
1287,chy,Cheyenne
1288,chz,Ozumacín Chinantec
1289,cia,Cia-Cia
1290,cib,Ci Gbe
1291,cic,Chickasaw
1292,cid,Chimariko
1293,cie,Cineni
1294,cih,Chinali
1295,cik,Chitkuli Kinnauri
1296,cim,Cimbrian
1297,cin,Cinta Larga
1298,cip,Chiapanec
1299,cir,Tiri
1300,ciw,Chippewa
1301,ciy,Chaima
1302,cja,Western Cham
1303,cje,Chru
1304,cjh,Upper Chehalis
1305,cji,Chamalal
1306,cjk,Chokwe
1307,cjm,Eastern Cham
1308,cjn,Chenapian
1309,cjo,Ashéninka Pajonal
1310,cjp,Cabécar
1311,cjs,Shor
1312,cjv,Chuave
1313,cjy,Jinyu Chinese
1314,cka,Khumi Awa Chin
1315,ckb,Central Kurdish
1316,ckh,Chak
1317,ckl,Cibak
1318,ckn,Kaang Chin
1319,cko,Anufo
1320,ckq,Kajakse
1321,ckr,Kairak
1322,cks,Tayo
1323,ckt,Chukot
1324,cku,Koasati
1325,ckv,Kavalan
1326,ckx,Caka
1327,cky,Cakfem-Mushere
1328,ckz,Cakchiquel-Quiché Mixed Language
1329,cla,Ron
1330,clc,Chilcotin
1331,cld,Chaldean Neo-Aramaic
1332,cle,Lealao Chinantec
1333,clh,Chilisso
1334,cli,Chakali
1335,clj,Laitu Chin
1336,clk,Idu-Mishmi
1337,cll,Chala
1338,clm,Clallam
1339,clo,Lowland Oaxaca Chontal
1340,clt,Lautu Chin
1341,clu,Caluyanun
1342,clw,Chulym
1343,cly,Eastern Highland Chatino
1344,cma,Maa
1345,cmc,Chamic languages
1346,cme,Cerma
1347,cmg,Classical Mongolian
1348,cmi,Emberá-Chamí
1349,cml,Campalagian
1350,cmm,Michigamea
1351,cmn,Mandarin Chinese
1352,cmo,Central Mnong
1353,cmr,Mro-Khimi Chin
1354,cms,Messapic
1355,cmt,Camtho
1356,cna,Changthang
1357,cnb,Chinbon Chin
1358,cnc,Côông
1359,cng,Northern Qiang
1360,cnh,Hakha Chin
1361,cni,Asháninka
1362,cnk,Khumi Chin
1363,cnl,Lalana Chinantec
1364,cno,Con
1365,cns,Central Asmat
1366,cnt,Tepetotutla Chinantec
1367,cnu,Chenoua
1368,cnw,Ngawn Chin
1369,cnx,Middle Cornish
1370,coa,Cocos Islands Malay
1371,cob,Chicomuceltec
1372,coc,Cocopa
1373,cod,Cocama-Cocamilla
1374,coe,Koreguaje
1375,cof,Colorado
1376,cog,Chong
1377,coh,Chonyi-Dzihana-Kauma
1378,coj,Cochimi
1379,cok,Santa Teresa Cora
1380,col,Columbia-Wenatchi
1381,com,Comanche
1382,con,Cofán
1383,coo,Comox
1384,cop,Coptic
1385,coq,Coquille
1386,cor,Cornish
1387,cos,Corsican
1388,cot,Caquinte
1389,cou,Wamey
1390,cov,Cao Miao
1391,cow,Cowlitz
1392,cox,Nanti
1393,coy,Coyaima
1394,coz,Chochotec
1395,cpa,Palantla Chinantec
1396,cpb,Ucayali-Yurúa Ashéninka
1397,cpc,Ajyíninka Apurucayali
1398,cpe,"Creoles and pidgins, English based"
1399,cpf,"Creoles and pidgins, French-based "
1400,cpg,Cappadocian Greek
1401,cpi,Chinese Pidgin English
1402,cpn,Cherepon
1403,cpo,Kpeego
1404,cpp,"Creoles and pidgins, Portuguese-based "
1405,cps,Capiznon
1406,cpu,Pichis Ashéninka
1407,cpx,Pu-Xian Chinese
1408,cpy,South Ucayali Ashéninka
1409,cqd,Chuanqiandian Cluster Miao
1410,cqu,Chilean Quechua
1411,cra,Chara
1412,crb,Island Carib
1413,crc,Lonwolwol
1414,crd,Coeur d'Alene
1415,cre,Cree
1416,crf,Caramanta
1417,crg,Michif
1418,crh,Crimean Tatar
1419,cri,Sãotomense
1420,crj,Southern East Cree
1421,crk,Plains Cree
1422,crl,Northern East Cree
1423,crm,Moose Cree
1424,crn,El Nayar Cora
1425,cro,Crow
1426,crp,Creoles and pidgins 
1427,crq,Iyo'wujwa Chorote
1428,crr,Carolina Algonquian
1429,crs,Seselwa Creole French
1430,crt,Iyojwa'ja Chorote
1431,crv,Chaura
1432,crw,Chrau
1433,crx,Carrier
1434,cry,Cori
1435,crz,Cruzeño
1436,csa,Chiltepec Chinantec
1437,csb,Kashubian
1438,csc,Catalan Sign Language
1439,csd,Chiangmai Sign Language
1440,cse,Czech Sign Language
1441,csf,Cuba Sign Language
1442,csg,Chilean Sign Language
1443,csh,Asho Chin
1444,csi,Coast Miwok
1445,csj,Songlai Chin
1446,csk,Jola-Kasa
1447,csl,Chinese Sign Language
1448,csm,Central Sierra Miwok
1449,csn,Colombian Sign Language
1450,cso,Sochiapam Chinantec
1451,csq,Croatia Sign Language
1452,csr,Costa Rican Sign Language
1453,css,Southern Ohlone
1454,cst,Northern Ohlone
1455,csv,Sumtu Chin
1456,csw,Swampy Cree
1457,csy,Siyin Chin
1458,csz,Coos
1459,cta,Tataltepec Chatino
1460,ctc,Chetco
1461,ctd,Tedim Chin
1462,cte,Tepinapa Chinantec
1463,ctg,Chittagonian
1464,cth,Thaiphum Chin
1465,ctl,Tlacoatzintepec Chinantec
1466,ctm,Chitimacha
1467,ctn,Chhintange
1468,cto,Emberá-Catío
1469,ctp,Western Highland Chatino
1470,cts,Northern Catanduanes Bikol
1471,ctt,Wayanad Chetti
1472,ctu,Chol
1473,ctz,Zacatepec Chatino
1474,cua,Cua
1475,cub,Cubeo
1476,cuc,Usila Chinantec
1477,cug,Cung
1478,cuh,Chuka
1479,cui,Cuiba
1480,cuj,Mashco Piro
1481,cuk,San Blas Kuna
1482,cul,Culina
1483,cum,Cumeral
1484,cuo,Cumanagoto
1485,cup,Cupeño
1486,cuq,Cun
1487,cur,Chhulung
1488,cus,Cushitic languages
1489,cut,Teutila Cuicatec
1490,cuu,Tai Ya
1491,cuv,Cuvok
1492,cuw,Chukwa
1493,cux,Tepeuxila Cuicatec
1494,cvg,Chug
1495,cvn,Valle Nacional Chinantec
1496,cwa,Kabwa
1497,cwb,Maindo
1498,cwd,Woods Cree
1499,cwe,Kwere
1500,cwg,Chewong
1501,cwt,Kuwaataay
1502,cya,Nopala Chatino
1503,cyb,Cayubaba
1504,cym,Welsh
1505,cyo,Cuyonon
1506,czh,Huizhou Chinese
1507,czk,Knaanic
1508,czn,Zenzontepec Chatino
1509,czo,Min Zhong Chinese
1510,czt,Zotung Chin
1511,daa,Dangaléat
1512,dac,Dambi
1513,dad,Marik
1514,dae,Duupa
1515,daf,Dan
1516,dag,Dagbani
1517,dah,Gwahatike
1518,dai,Day
1519,daj,Dar Fur Daju
1520,dak,Dakota
1521,dal,Dahalo
1522,dam,Damakawa
1523,dan,Danish
1524,dao,Daai Chin
1525,dap,Nisi (India)
1526,daq,Dandami Maria
1527,dar,Dargwa
1528,das,Daho-Doo
1529,dau,Dar Sila Daju
1530,dav,Taita
1531,daw,Davawenyo
1532,dax,Dayi
1533,day,Land Dayak languages
1534,daz,Dao
1535,dba,Bangime
1536,dbb,Deno
1537,dbd,Dadiya
1538,dbe,Dabe
1539,dbf,Edopi
1540,dbg,Dogul Dom Dogon
1541,dbi,Doka
1542,dbj,Ida'an
1543,dbl,Dyirbal
1544,dbm,Duguri
1545,dbn,Duriankere
1546,dbo,Dulbu
1547,dbp,Duwai
1548,dbq,Daba
1549,dbr,Dabarre
1550,dbt,Ben Tey Dogon
1551,dbu,Bondum Dom Dogon
1552,dbv,Dungu
1553,dbw,Bankan Tey Dogon
1554,dby,Dibiyaso
1555,dcc,Deccan
1556,dcr,Negerhollands
1557,dda,Dadi Dadi
1558,ddd,Dongotono
1559,dde,Doondo
1560,ddg,Fataluku
1561,ddi,West Goodenough
1562,ddj,Jaru
1563,ddn,Dendi (Benin)
1564,ddo,Dido
1565,ddr,Dhudhuroa
1566,dds,Donno So Dogon
1567,ddw,Dawera-Daweloor
1568,dec,Dagik
1569,ded,Dedua
1570,dee,Dewoin
1571,def,Dezfuli
1572,deg,Degema
1573,deh,Dehwari
1574,dei,Demisa
1575,dek,Dek
1576,del,Delaware
1577,dem,Dem
1578,den,Slave (Athapascan)
1579,dep,Pidgin Delaware
1580,deq,Dendi (Central African Republic)
1581,der,Deori
1582,des,Desano
1583,deu,German
1584,dev,Domung
1585,dez,Dengese
1586,dga,Southern Dagaare
1587,dgb,Bunoge Dogon
1588,dgc,Casiguran Dumagat Agta
1589,dgd,Dagaari Dioula
1590,dge,Degenan
1591,dgg,Doga
1592,dgh,Dghwede
1593,dgi,Northern Dagara
1594,dgk,Dagba
1595,dgl,Andaandi
1596,dgn,Dagoman
1597,dgo,Dogri (individual language)
1598,dgr,Dogrib
1599,dgs,Dogoso
1600,dgt,Ndra'ngith
1601,dgu,Degaru
1602,dgw,Daungwurrung
1603,dgx,Doghoro
1604,dgz,Daga
1605,dha,Dhanwar (India)
1606,dhd,Dhundari
1607,dhg,Dhangu-Djangu
1608,dhi,Dhimal
1609,dhl,Dhalandji
1610,dhm,Zemba
1611,dhn,Dhanki
1612,dho,Dhodia
1613,dhr,Dhargari
1614,dhs,Dhaiso
1615,dhu,Dhurga
1616,dhv,Dehu
1617,dhw,Dhanwar (Nepal)
1618,dhx,Dhungaloo
1619,dia,Dia
1620,dib,South Central Dinka
1621,dic,Lakota Dida
1622,did,Didinga
1623,dif,Dieri
1624,dig,Digo
1625,dih,Kumiai
1626,dii,Dimbong
1627,dij,Dai
1628,dik,Southwestern Dinka
1629,dil,Dilling
1630,dim,Dime
1631,din,Dinka
1632,dio,Dibo
1633,dip,Northeastern Dinka
1634,diq,Dimli (individual language)
1635,dir,Dirim
1636,dis,Dimasa
1637,dit,Dirari
1638,diu,Diriku
1639,div,Dhivehi
1640,diw,Northwestern Dinka
1641,dix,Dixon Reef
1642,diy,Diuwe
1643,diz,Ding
1644,dja,Djadjawurrung
1645,djb,Djinba
1646,djc,Dar Daju Daju
1647,djd,Djamindjung
1648,dje,Zarma
1649,djf,Djangun
1650,dji,Djinang
1651,djj,Djeebbana
1652,djk,Eastern Maroon Creole
1653,djl,Djiwarli
1654,djm,Jamsay Dogon
1655,djn,Djauan
1656,djo,Jangkang
1657,djr,Djambarrpuyngu
1658,dju,Kapriman
1659,djw,Djawi
1660,dka,Dakpakha
1661,dkk,Dakka
1662,dkl,Kolum So Dogon
1663,dkr,Kuijau
1664,dks,Southeastern Dinka
1665,dkx,Mazagway
1666,dlg,Dolgan
1667,dlk,Dahalik
1668,dlm,Dalmatian
1669,dln,Darlong
1670,dma,Duma
1671,dmb,Mombo Dogon
1672,dmc,Gavak
1673,dmd,Madhi Madhi
1674,dme,Dugwor
1675,dmg,Upper Kinabatangan
1676,dmk,Domaaki
1677,dml,Dameli
1678,dmm,Dama
1679,dmo,Kemedzung
1680,dmr,East Damar
1681,dms,Dampelas
1682,dmu,Dubu
1683,dmv,Dumpas
1684,dmw,Mudburra
1685,dmx,Dema
1686,dmy,Demta
1687,dna,Upper Grand Valley Dani
1688,dnd,Daonda
1689,dne,Ndendeule
1690,dng,Dungan
1691,dni,Lower Grand Valley Dani
1692,dnj,Dan
1693,dnk,Dengka
1694,dnn,Dzùùngoo
1695,dnr,Danaru
1696,dnt,Mid Grand Valley Dani
1697,dnu,Danau
1698,dnv,Danu
1699,dnw,Western Dani
1700,dny,Dení
1701,doa,Dom
1702,dob,Dobu
1703,doc,Northern Dong
1704,doe,Doe
1705,dof,Domu
1706,doh,Dong
1707,doi,Dogri (macrolanguage)
1708,dok,Dondo
1709,dol,Doso
1710,don,Toura (Papua New Guinea)
1711,doo,Dongo
1712,dop,Lukpa
1713,doq,Dominican Sign Language
1714,dor,Dori'o
1715,dos,Dogosé
1716,dot,Dass
1717,dov,Dombe
1718,dow,Doyayo
1719,dox,Bussa
1720,doy,Dompo
1721,doz,Dorze
1722,dpp,Papar
1723,dra,Dravidian languages
1724,drb,Dair
1725,drc,Minderico
1726,drd,Darmiya
1727,dre,Dolpo
1728,drg,Rungus
1729,dri,C'Lela
1730,drl,Paakantyi
1731,drn,West Damar
1732,dro,Daro-Matu Melanau
1733,drq,Dura
1734,drr,Dororo
1735,drs,Gedeo
1736,drt,Drents
1737,dru,Rukai
1738,dry,Darai
1739,dsb,Lower Sorbian
1740,dse,Dutch Sign Language
1741,dsh,Daasanach
1742,dsi,Disa
1743,dsl,Danish Sign Language
1744,dsn,Dusner
1745,dso,Desiya
1746,dsq,Tadaksahak
1747,dta,Daur
1748,dtb,Labuk-Kinabatangan Kadazan
1749,dtd,Ditidaht
1750,dth,Adithinngithigh
1751,dti,Ana Tinga Dogon
1752,dtk,Tene Kan Dogon
1753,dtm,Tomo Kan Dogon
1754,dtn,Daatsʼíin
1755,dto,Tommo So Dogon
1756,dtp,Kadazan Dusun
1757,dtr,Lotud
1758,dts,Toro So Dogon
1759,dtt,Toro Tegu Dogon
1760,dtu,Tebul Ure Dogon
1761,dty,Dotyali
1762,dua,Duala
1763,dub,Dubli
1764,duc,Duna
1765,dud,Hun-Saare
1766,due,Umiray Dumaget Agta
1767,duf,Dumbea
1768,dug,Duruma
1769,duh,Dungra Bhil
1770,dui,Dumun
1771,duj,Dhuwal
1772,duk,Uyajitaya
1773,dul,Alabat Island Agta
1774,dum,Middle Dutch (ca. 1050-1350)
1775,dun,Dusun Deyah
1776,duo,Dupaninan Agta
1777,dup,Duano
1778,duq,Dusun Malang
1779,dur,Dii
1780,dus,Dumi
1781,duu,Drung
1782,duv,Duvle
1783,duw,Dusun Witu
1784,dux,Duungooma
1785,duy,Dicamay Agta
1786,duz,Duli-Gey
1787,dva,Duau
1788,dwa,Diri
1789,dwl,Walo Kumbe Dogon
1790,dwr,Dawro
1791,dws,Dutton World Speedwords
1792,dwu,Dhuwal
1793,dww,Dawawa
1794,dwy,Dhuwaya
1795,dya,Dyan
1796,dyb,Dyaberdyaber
1797,dyd,Dyugun
1798,dyg,Villa Viciosa Agta
1799,dyi,Djimini Senoufo
1800,dym,Yanda Dom Dogon
1801,dyn,Dyangadi
1802,dyo,Jola-Fonyi
1803,dyu,Dyula
1804,dyy,Dyaabugay
1805,dza,Tunzu
1806,dzd,Daza
1807,dze,Djiwarli
1808,dzg,Dazaga
1809,dzl,Dzalakha
1810,dzn,Dzando
1811,dzo,Dzongkha
1812,eaa,Karenggapa
1813,ebg,Ebughu
1814,ebk,Eastern Bontok
1815,ebo,Teke-Ebo
1816,ebr,Ebrié
1817,ebu,Embu
1818,ecr,Eteocretan
1819,ecs,Ecuadorian Sign Language
1820,ecy,Eteocypriot
1821,eee,E
1822,efa,Efai
1823,efe,Efe
1824,efi,Efik
1825,ega,Ega
1826,egl,Emilian
1827,ego,Eggon
1828,egy,Egyptian (Ancient)
1829,ehu,Ehueun
1830,eip,Eipomek
1831,eit,Eitiep
1832,eiv,Askopan
1833,eja,Ejamat
1834,eka,Ekajuk
1835,ekc,Eastern Karnic
1836,eke,Ekit
1837,ekg,Ekari
1838,eki,Eki
1839,ekk,Standard Estonian
1840,ekl,Kol (Bangladesh)
1841,ekm,Elip
1842,eko,Koti
1843,ekp,Ekpeye
1844,ekr,Yace
1845,eky,Eastern Kayah
1846,ele,Elepi
1847,elh,El Hugeirat
1848,eli,Nding
1849,elk,Elkei
1850,ell,Modern Greek (1453-)
1851,elm,Eleme
1852,elo,El Molo
1853,elp,Elpaputih
1854,elu,Elu
1855,elx,Elamite
1856,ema,Emai-Iuleha-Ora
1857,emb,Embaloh
1858,eme,Emerillon
1859,emg,Eastern Meohang
1860,emi,Mussau-Emira
1861,emk,Eastern Maninkakan
1862,emm,Mamulique
1863,emn,Eman
1864,emo,Emok
1865,emp,Northern Emberá
1866,ems,Pacific Gulf Yupik
1867,emu,Eastern Muria
1868,emw,Emplawas
1869,emx,Erromintxela
1870,emy,Epigraphic Mayan
1871,ena,Apali
1872,enb,Markweeta
1873,enc,En
1874,end,Ende
1875,enf,Forest Enets
1876,eng,English
1877,enh,Tundra Enets
1878,enl,Enlhet
1879,enm,Middle English (1100-1500)
1880,enn,Engenni
1881,eno,Enggano
1882,enq,Enga
1883,enr,Emumu
1884,enu,Enu
1885,env,Enwan (Edu State)
1886,enw,Enwan (Akwa Ibom State)
1887,enx,Enxet
1888,eot,Beti (Côte d'Ivoire)
1889,epi,Epie
1890,epo,Esperanto
1891,era,Eravallan
1892,erg,Sie
1893,erh,Eruwa
1894,eri,Ogea
1895,erk,South Efate
1896,ero,Horpa
1897,err,Erre
1898,ers,Ersu
1899,ert,Eritai
1900,erw,Erokwanas
1901,ese,Ese Ejja
1902,esg,Aheri Gondi
1903,esh,Eshtehardi
1904,esi,North Alaskan Inupiatun
1905,esk,Northwest Alaska Inupiatun
1906,esl,Egypt Sign Language
1907,esm,Esuma
1908,esn,Salvadoran Sign Language
1909,eso,Estonian Sign Language
1910,esq,Esselen
1911,ess,Central Siberian Yupik
1912,est,Estonian
1913,esu,Central Yupik
1914,esy,Eskayan
1915,etb,Etebi
1916,etc,Etchemin
1917,eth,Ethiopian Sign Language
1918,etn,Eton (Vanuatu)
1919,eto,Eton (Cameroon)
1920,etr,Edolo
1921,ets,Yekhee
1922,ett,Etruscan
1923,etu,Ejagham
1924,etx,Eten
1925,etz,Semimi
1926,eus,Basque
1927,eve,Even
1928,evh,Uvbie
1929,evn,Evenki
1930,ewe,Ewe
1931,ewo,Ewondo
1932,ext,Extremaduran
1933,eya,Eyak
1934,eyo,Keiyo
1935,eza,Ezaa
1936,eze,Uzekwe
1937,faa,Fasu
1938,fab,Fa d'Ambu
1939,fad,Wagi
1940,faf,Fagani
1941,fag,Finongan
1942,fah,Baissa Fali
1943,fai,Faiwol
1944,faj,Faita
1945,fak,Fang (Cameroon)
1946,fal,South Fali
1947,fam,Fam
1948,fan,Fang (Equatorial Guinea)
1949,fao,Faroese
1950,fap,Palor
1951,far,Fataleka
1952,fas,Persian
1953,fat,Fanti
1954,fau,Fayu
1955,fax,Fala
1956,fay,Southwestern Fars
1957,faz,Northwestern Fars
1958,fbl,West Albay Bikol
1959,fcs,Quebec Sign Language
1960,fer,Feroge
1961,ffi,Foia Foia
1962,ffm,Maasina Fulfulde
1963,fgr,Fongoro
1964,fia,Nobiin
1965,fie,Fyer
1966,fij,Fijian
1967,fil,Filipino
1968,fin,Finnish
1969,fip,Fipa
1970,fir,Firan
1971,fit,Tornedalen Finnish
1972,fiu,Finno-Ugrian languages
1973,fiw,Fiwaga
1974,fkk,Kirya-Konzəl
1975,fkv,Kven Finnish
1976,fla,Kalispel-Pend d'Oreille
1977,flh,Foau
1978,fli,Fali
1979,fll,North Fali
1980,fln,Flinders Island
1981,flr,Fuliiru
1982,fly,Flaaitaal
1983,fmp,Fe'fe'
1984,fmu,Far Western Muria
1985,fnb,Fanbak
1986,fng,Fanagalo
1987,fni,Fania
1988,fod,Foodo
1989,foi,Foi
1990,fom,Foma
1991,fon,Fon
1992,for,Fore
1993,fos,Siraya
1994,fpe,Fernando Po Creole English
1995,fqs,Fas
1996,fra,French
1997,frc,Cajun French
1998,frd,Fordata
1999,frk,Frankish
2000,frm,Middle French (ca. 1400-1600)
2001,fro,Old French (842-ca. 1400)
2002,frp,Arpitan
2003,frq,Forak
2004,frr,Northern Frisian
2005,frs,Eastern Frisian
2006,frt,Fortsenal
2007,fry,Western Frisian
2008,fse,Finnish Sign Language
2009,fsl,French Sign Language
2010,fss,Finland-Swedish Sign Language
2011,fub,Adamawa Fulfulde
2012,fuc,Pulaar
2013,fud,East Futuna
2014,fue,Borgu Fulfulde
2015,fuf,Pular
2016,fuh,Western Niger Fulfulde
2017,fui,Bagirmi Fulfulde
2018,fuj,Ko
2019,ful,Fulah
2020,fum,Fum
2021,fun,Fulniô
2022,fuq,Central-Eastern Niger Fulfulde
2023,fur,Friulian
2024,fut,Futuna-Aniwa
2025,fuu,Furu
2026,fuv,Nigerian Fulfulde
2027,fuy,Fuyug
2028,fvr,Fur
2029,fwa,Fwâi
2030,fwe,Fwe
2031,gaa,Ga
2032,gab,Gabri
2033,gac,Mixed Great Andamanese
2034,gad,Gaddang
2035,gae,Guarequena
2036,gaf,Gende
2037,gag,Gagauz
2038,gah,Alekano
2039,gai,Borei
2040,gaj,Gadsup
2041,gak,Gamkonora
2042,gal,Galolen
2043,gam,Kandawo
2044,gan,Gan Chinese
2045,gao,Gants
2046,gap,Gal
2047,gaq,Gata'
2048,gar,Galeya
2049,gas,Adiwasi Garasia
2050,gat,Kenati
2051,gau,Mudhili Gadaba
2052,gaw,Nobonob
2053,gax,Borana-Arsi-Guji Oromo
2054,gay,Gayo
2055,gaz,West Central Oromo
2056,gba,Gbaya (Central African Republic)
2057,gbb,Kaytetye
2058,gbc,Garawa
2059,gbd,Karadjeri
2060,gbe,Niksek
2061,gbf,Gaikundi
2062,gbg,Gbanziri
2063,gbh,Defi Gbe
2064,gbi,Galela
2065,gbj,Bodo Gadaba
2066,gbk,Gaddi
2067,gbl,Gamit
2068,gbm,Garhwali
2069,gbn,Mo'da
2070,gbo,Northern Grebo
2071,gbp,Gbaya-Bossangoa
2072,gbq,Gbaya-Bozoum
2073,gbr,Gbagyi
2074,gbs,Gbesi Gbe
2075,gbu,Gagadu
2076,gbv,Gbanu
2077,gbw,Gabi-Gabi
2078,gbx,Eastern Xwla Gbe
2079,gby,Gbari
2080,gbz,Zoroastrian Dari
2081,gcc,Mali
2082,gcd,Ganggalida
2083,gce,Galice
2084,gcf,Guadeloupean Creole French
2085,gcl,Grenadian Creole English
2086,gcn,Gaina
2087,gcr,Guianese Creole French
2088,gct,Colonia Tovar German
2089,gda,Gade Lohar
2090,gdb,Pottangi Ollar Gadaba
2091,gdc,Gugu Badhun
2092,gdd,Gedaged
2093,gde,Gude
2094,gdf,Guduf-Gava
2095,gdg,Ga'dang
2096,gdh,Gadjerawang
2097,gdi,Gundi
2098,gdj,Gurdjar
2099,gdk,Gadang
2100,gdl,Dirasha
2101,gdm,Laal
2102,gdn,Umanakaina
2103,gdo,Ghodoberi
2104,gdq,Mehri
2105,gdr,Wipi
2106,gds,Ghandruk Sign Language
2107,gdt,Kungardutyi
2108,gdu,Gudu
2109,gdx,Godwari
2110,gea,Geruma
2111,geb,Kire
2112,gec,Gboloo Grebo
2113,ged,Gade
2114,geg,Gengle
2115,geh,Hutterite German
2116,gei,Gebe
2117,gej,Gen
2118,gek,Ywom
2119,gel,ut-Ma'in
2120,gem,Germanic languages
2121,geq,Geme
2122,ges,Geser-Gorom
2123,gev,Eviya
2124,gew,Gera
2125,gex,Garre
2126,gey,Enya
2127,gez,Geez
2128,gfk,Patpatar
2129,gft,Gafat
2130,gga,Gao
2131,ggb,Gbii
2132,ggd,Gugadj
2133,gge,Guragone
2134,ggg,Gurgula
2135,ggk,Kungarakany
2136,ggl,Ganglau
2137,ggn,Eastern Gurung
2138,ggo,Southern Gondi
2139,ggr,Aghu Tharnggalu
2140,ggt,Gitua
2141,ggu,Gagu
2142,ggw,Gogodala
2143,gha,Ghadamès
2144,ghc,Hiberno-Scottish Gaelic
2145,ghe,Southern Ghale
2146,ghh,Northern Ghale
2147,ghk,Geko Karen
2148,ghl,Ghulfan
2149,ghn,Ghanongga
2150,gho,Ghomara
2151,ghr,Ghera
2152,ghs,Guhu-Samane
2153,ght,Kuke
2154,gia,Kitja
2155,gib,Gibanawa
2156,gic,Gail
2157,gid,Gidar
2158,gig,Goaria
2159,gih,Githabul
2160,gil,Gilbertese
2161,gim,Gimi (Eastern Highlands)
2162,gin,Hinukh
2163,gio,Gelao
2164,gip,Gimi (West New Britain)
2165,giq,Green Gelao
2166,gir,Red Gelao
2167,gis,North Giziga
2168,git,Gitxsan
2169,giu,Mulao
2170,giw,White Gelao
2171,gix,Gilima
2172,giy,Giyug
2173,giz,South Giziga
2174,gji,Geji
2175,gjk,Kachi Koli
2176,gjm,Gunditjmara
2177,gjn,Gonja
2178,gjr,Gurindji Kriol
2179,gju,Gujari
2180,gka,Guya
2181,gke,Ndai
2182,gkn,Gokana
2183,gko,Kok-Nar
2184,gkp,Guinea Kpelle
