,SSYK 2012 kod,Yrkesbenämning
2391,1422,"Föreståndare, barnhem, verksamhetsnära chef"
2392,5161,"Föreståndare, begravningsbyrå"
2393,5221,"Föreståndare, bensinstation"
2394,1421,"Föreståndare, daghem, funktions- eller mellanchef"
2395,1422,"Föreståndare, daghem, verksamhetsnära chef"
2396,1791,"Föreståndare, Folkets Hus, funktions- eller mellanchef"
2397,1792,"Föreståndare, Folkets Hus, verksamhetsnära chef"
2398,2342,"Föreståndare, fritidsgård/fritidspedagog"
2399,1421,"Föreståndare, fritidshem, funktions- eller mellanchef"
2400,1422,"Föreståndare, fritidshem, verksamhetsnära chef"
2401,1421,"Föreståndare, förskola, funktions- eller mellanchef"
2402,1422,"Föreståndare, förskola, verksamhetsnära chef"
2403,2621,"Föreståndare, galleri"
2404,1741,"Föreståndare, golfbana, funktions- eller mellanchef"
2405,1742,"Föreståndare, golfbana, verksamhetsnära chef"
2406,1521,"Föreståndare, hem för vård och boende, funktions- eller mellanchef"
2407,1522,"Föreståndare, hem för vård och boende, verksamhetsnära chef"
2408,1741,"Föreståndare, idrottshall, funktions- eller mellanchef"
2409,1742,"Föreståndare, idrottshall, verksamhetsnära chef"
2410,1521,"Föreståndare, institution för personer med funktionsnedsättning, funktions- eller mellanchef"
2411,1522,"Föreståndare, institution för personer med funktionsnedsättning, verksamhetsnära chef"
2412,3452,"Föreståndare, kursgård"
2413,2672,"Föreståndare, kyrkligverksamhet"
2414,3452,"Föreståndare, mäss, lunchrum etc"
2415,3452,"Föreståndare, skolmåltidsverksamhet"
2416,4224,"Föreståndare, stugby"
2417,4224,"Föreståndare, vandrarhem"
2418,1531,"Föreståndare, ålderdomshem, funktions- eller mellanchef"
2419,1532,"Föreståndare, ålderdomshem, verksamhetsnära chef"
2420,2342,"Föreståndare/fritidspedagog, fritidsgård"
2421,2622,Företagsbibliotekarie
2422,2413,Företagsekonomisk rådgivare
2423,3322,Företagsförsäljare
2424,5113,Företagsguide
2425,2181,Företagsgymnast
2426,2614,Företagsjurist
2427,2421,Företagskonsulent
2428,2421,Företagskonsult
2429,1362,"Företagsledare, inom bygg och anläggning, utan chefshierarki"
2430,1352,"Företagsledare, inom fastighet, utan chefshierarki"
2431,1612,"Företagsledare, inom finansiell verksamhet, utan chefshierarki"
2432,1732,"Företagsledare, inom handel, utan chefshierarki"
2433,1712,"Företagsledare, inom hotell , utan chefshierarki"
2434,6111,"Företagsledare, inom jordbruk, utan chefshierarki"
2435,1722,"Företagsledare, inom restaurang, utan chefshierarki"
2436,6210,"Företagsledare, inom skogsbruk, utan chefshierarki"
2437,1372,"Företagsledare, inom tillverkning, el, värme, vatten, utan chefshierarki"
2438,1322,"Företagsledare, inom transporter, utan chefshierarki"
2439,6112,"Företagsledare, inom trädgård, utan chefshierarki"
2440,1492,"Företagsledare, inom utbildning, utan chefshierarki"
2441,1512,"Företagsledare, inom vård och omsorg, utan chefshierarki"
2442,1532,"Företagsledare, inom äldreomsorg, utan chefshierarki"
2443,1120,"Företagsledare, med chefshierarki"
2444,2211,Företagsläkare
2445,3311,Företagsmäklare
2446,2241,Företagspsykolog
2447,2413,Företagsrådgivare
2448,2272,Företagssjukgymnast
2449,2234,Företagssjuksköterska
2450,2234,Företagssköterska
2451,3322,Företagssäljare
2452,2641,Författare
2453,8121,"Förgyllare, metall"
2454,7521,"Förgyllare, trä"
2455,1230,"Förhandlingschef, företag"
2456,1113,"Förhandlingschef, organisation"
2457,1230,"Förhandlingschef, staten"
2458,2422,Förhandlingsombudsman
2459,1230,"Förhandlingssekreterare, staten"
2460,8121,Förkromare
2461,4119,Förlagsassistent
2462,3339,Förlagsfaktor
2463,2641,Förlagsredaktör
2464,2222,Förlossningsbarnmorska
2465,1372,"Förläggare, utan chefshierarki"
2466,1120,"Förläggare, med chefshierarki"
2467,1522,"Förläggningschef, verksamhetsnära chef"
2468,1521,"Förläggningschef, funktions- eller mellanchef"
2469,xxxx,Förman (SSYK klassificeras som underställd personal)
2470,4430,Förmyndare
2471,8121,Förnicklare
2472,8181,Förpackningsarbetare
2473,8181,Förpackningsoperatör
2474,3114,Förpackningstekniker
2475,3119,Förpackningsutvecklare
2476,4322,Förrådsansvarig
2477,9310,"Förrådsarbetare, bygg"
2478,4322,"Förrådsarbetare, lager"
2479,4321,Förrådschef
