,SSYK 2012 kod,Yrkesbenämning
0,2173,3D-designer
1,2173,3D-grafiker
2,2173,3D-visualiserare
3,5242,Abonnemangsförsäljare
4,4222,Abonnemangskontorist
5,3114,"Abonnentingenjör, vatten och avlopp"
6,4222,Abonnentman
7,3322,Account manager
8,2412,Accounting controller
9,2652,"Ackompanjatör, klassisk musik"
10,2652,"Ackompanjatör, populärmusik"
11,4112,Ackordsuträknare
12,8212,Ackumulatorarbetare
13,9320,Ackumulatorskötare
14,3339,"Ackvisitör, annonser"
15,3433,"Ackvisitör, rekvisitör"
16,2172,AD (Art Director)
17,3432,AD-assistent
18,2671,"Adjunkt, evangelisk-luthersk"
19,2341,"Adjunkt, grundskola"
20,2330,"Adjunkt, gymnasieskola"
21,2319,"Adjunkt, högskola/universitet"
22,2671,"Adjunkt, Svenska kyrkan"
23,5343,ADL-assistent
24,4119,Administrativ assistent
25,1292,"Administrativ chef, verksamhetsnära chef "
26,1291,"Administrativ chef, funktions- eller mellanchef"
27,2421,Administrativ konsult
28,2421,Administrativ rationaliserare
29,2421,Administrativ utvecklare
30,4119,"Administratör, administrativ assistent"
31,4119,"Administratör, allmänkontorist"
32,2422,"Administratör, handläggare/utredare, intresseorganisation"
33,2422,"Administratör, handläggare/utredare, offentlig förvaltning"
34,4322,"Administratör, lager"
35,4112,"Administratör, löner"
36,2423,"Administratör, personalvetare"
37,4119,Adresserare
38,4119,Adresskontorist
39,8129,Aducerare
40,2611,Advokat
41,2619,Advokatfiskal
42,3342,Advokatsekreterare
43,3422,Aerobicsinstruktör
44,2283,Afasipedagog
45,9629,Affischbärare
46,9629,Affischklistrare
47,2172,Affischtecknare
48,9629,Affischuppsättare
49,9629,Affischör
50,5222,"Affärsbiträde, dagligvaror"
51,5223,"Affärsbiträde, fackhandel"
52,5230,"Affärsbiträde, spelbutik"
53,5226,"Affärsbiträde, videobutik"
54,3432,Affärsdekoratör
55,5221,"Affärsföreståndare (dagligvaror), säljande"
56,5221,"Affärsföreståndare (fackhandel), säljande"
57,5221,"Affärsföreståndare, 5-9 anställda, säljande"
58,1732,"Affärsföreståndare, administrativ, verksamhetsnära chef"
59,5221,Affärsidkare
60,5221,"Affärsinnehavare (dagligvaror), säljande"
61,5221,"Affärsinnehavare (fackhandel), säljande"
62,5221,"Affärsinnehavare, 5-9 anställda, säljande"
63,1732,"Affärsinnehavare, administrativ, verksamhetsnära chef"
64,2614,Affärsjurist
65,5230,Affärskassör
66,5230,Affärskassörska
67,3339,"Affärskonsulent, butik"
68,1251,"Affärsområdeschef, försäljnings- och marknadsansvar, funktions- eller mellanchef"
69,1252,"Affärsområdeschef, försäljnings- och marknadsansvar, verksamhetsnära chef"
70,1120,"Affärsområdeschef, lednings- och utvecklingsansvar"
71,4221,Affärsresekonsulent
72,4221,Affärsresekonsult
73,4221,Affärsresesäljare
74,2421,Affärsutvecklare
75,1291,"Affärsutvecklingschef, funktions- eller mellanchef"
76,1292,"Affärsutvecklingschef, verksamhetsnära chef"
77,3431,A-fotograf
78,3322,"Agent, detaljhandel"
79,3331,"Agent, partihandel"
80,2134,Agronom
81,8211,Airbagmontör
82,8159,"Airbagtillverkare, operatör"
83,2615,Akademiombudsman
84,2422,Akademisekreterare
85,3353,A-kassehandläggare
86,3439,Akrobat
87,2413,Aktieanalytiker
88,2414,Aktieförvaltare
89,3311,Aktiehandlare
90,3311,Aktiemäklare
91,5113,Aktivitetsguide
92,3423,"Aktivitetsledare, fritidsaktivitet"
93,5113,"Aktivitetsledare, guide"
94,5341,"Aktivitetsledare, psykvård, missbruk m.m."
95,2121,"Aktuarie, försäkringsbolag"
96,3230,Akupressör
97,3230,Akupunktör
98,2142,Akustiker
99,2142,Akustisk designer
100,2226,Akutsjuksköterska
101,6221,Akvariefiskuppfödare
102,6221,Akvarietekniker
103,3522,A-ljudtekniker
104,3411,Alkohol- och drogrådgivare
105,3411,Alkohol- och drogterapeut
106,3411,Alkohol- och drogutredare
107,3359,Alkoholhandläggare
108,3411,Alkoholrådgivare
109,3411,Alkoholterapeut
110,2221,Allergisjuksköterska
111,2211,Allergolog
112,2613,Allmän åklagare
113,4119,Allmänkontorist
114,2642,Allmänreporter
115,2319,"Amanuens, högskola/universitet"
116,2621,"Amanuens, museum"
117,1230,Ambassadråd
118,2422,Ambassadsekreterare
119,5413,Ambassadväktare
120,1112,Ambassadör
121,5411,"Ambulansförare, brandman"
122,5326,"Ambulansförare, sjukvårdare"
123,5326,Ambulansföreståndare
124,5326,Ambulansman
125,2226,Ambulanssjuksköterska
126,5326,Ambulanssjukvårdare
127,8132,Ammoniakkokare
128,8132,Ammunitionsarbetare
129,0310,Ammunitionsröjare
130,2113,Analytisk kemist
131,3214,Anaplastolog
132,3112,Anbudsingenjör
133,3339,Anbudsläggare
134,2211,Anestesiläkare
135,2211,Anestesiolog
136,2223,Anestesisjuksköterska
137,7319,Anfångare
138,3411,Anhörigkonsulent
139,5349,Anhörigstödjare
140,3411,Anhörigterapeut
141,5349,Anhörigvårdare
142,2173,Animatör
143,2173,Animerare
144,7114,"Anläggare, markarbeten, VA m.m."
145,8342,"Anläggare, maskinförare"
146,6113,"Anläggare, trädgård"
147,7114,"Anläggningsarbetare, markarbeten, VA m.m."
148,8342,"Anläggningsarbetare, maskinförare"
149,6113,"Anläggningsarbetare, trädgård"
150,7115,Anläggningsdykare
151,2142,"Anläggningsingenjör (bygg), civilingenjör"
152,3112,"Anläggningsingenjör (bygg), högskoleingenjör"
153,3113,"Anläggningsingenjör, elkraft"
154,8342,Anläggningsmaskinförare
155,2142,Anläggningsplanerare
156,8129,Anlöpare
157,3339,Annonsansvarig
158,4114,Annonsassistent
159,3339,Annonsberedare
160,3339,Annonschef
161,7321,Annonsgrafiker
162,3339,Annonskonsulent
163,4114,Annonskontrollant
164,4114,Annonsmottagare
165,2432,Annonsproducent
166,4114,Annonssekreterare
167,3322,Annonssäljare
168,7321,Annonssättare
169,2172,Annonstecknare
170,8121,Anodiserare
171,8121,Anodiseringsoperatör
172,5169,Anonym konsument
173,2351,Anpassningslärare
174,8112,"Anrikningsarbetare, malm"
175,3214,Ansiktsprotetiker
176,3230,Ansiktszonterapeut
177,3119,Anstaltsingenjör
178,3411,Anstaltspedagog
179,1411,"Antagningschef, utbildning, funktions- eller mellanchef"
180,2422,Antagningshandläggare
181,2422,"Antagningssekreterare, utbildning"
182,7420,"Antennmontör, telekommunikation"
183,7420,Antenntekniker
184,5223,Antikvariatsbiträde
185,2621,Antikvarie
186,5221,Antikvitetshandlare
187,2623,Antropolog
188,2512,Användbarhetsdesigner
189,2512,Användbarhetsexpert
190,2281,Apotekare
191,5227,Apoteksassistent
192,5227,Apoteksbiträde
193,1731,"Apotekschef, läkemedelsansvarig, funktions- eller mellanchef"
194,1732,"Apotekschef, läkemedelsansvarig, verksamhetsnära chef"
195,1732,"Apotekschef,  verksamhetsnära chef"
196,1731,"Apotekschef, funktions- eller mellanchef"
197,1731,"Apoteksdirektör, funktions- eller mellanchef"
198,1732,"Apoteksdirektör, verksamhetsnära chef"
199,1731,"Apoteksområdeschef, funktions- eller mellanchef"
200,1732,"Apoteksområdeschef, verksamhetsnära chef"
201,5227,Apotekstekniker
202,7420,Apparatreparatör
203,2143,"Applikationsingenjör (elektronik), civilingenjör "
204,2143,"Applikationsingenjör (telekommunikation), civilingenjör"
205,3113,"Applikationsingenjör, högskoleingenjör"
206,2512,"Applikationsingenjör, programmering"
207,2512,Applikationsprogrammerare
208,2512,Applikationsspecialist
209,2512,Applikationsutvecklare
210,8151,Appreterare
211,1362,"Arbetschef, bygg och anläggning, verksamhetsnära chef"
212,1361,"Arbetschef, bygg och anläggning, funktions- eller mellanchef"
213,2661,"Arbetscoach, IPS modellen"
214,7231,Arbetsfordonsreparatör
215,3333,Arbetsförmedlare
216,1591,"Arbetsförmedlingschef, funktions- eller mellanchef"
217,1592,"Arbetsförmedlingschef, verksamhetsnära chef"
218,2181,Arbetshygieniker
219,3112,Arbetsingenjör
220,5412,"Arbetsinstruktör, kriminalvård"
221,xxxx,"Arbetsinstruktör, övrig (SSYK klassificeras som underställd personal)"
222,3333,Arbetskonsulent
223,3121,"Arbetsledare, anläggning"
224,3122,"Arbetsledare, betongtillverkning"
225,3122,"Arbetsledare, bilindustri"
226,3122,"Arbetsledare, bokbinderi"
227,3122,"Arbetsledare, bryggeri"
228,5221,"Arbetsledare, butik (dagligvaror)"
229,5221,"Arbetsledare, butik (fackhandel)"
230,3121,"Arbetsledare, bygg och anläggning"
231,3122,"Arbetsledare, fotografiskaprodukter"
232,3122,"Arbetsledare, frukt och grönsaksberedning"
233,3122,"Arbetsledare, garnberedning"
234,3121,"Arbetsledare, golv"
235,3121,"Arbetsledare, gruvdrift"
236,3121,"Arbetsledare, husbyggnad"
237,3122,"Arbetsledare, kemiska och farmaceutiska produkter"
238,3122,"Arbetsledare, konfektyr"
239,3341,"Arbetsledare, kontorspersonal"
240,3122,"Arbetsledare, kvarn"
241,4321,"Arbetsledare, lager"
242,3122,"Arbetsledare, livsmedelsindustri"
243,3122,"Arbetsledare, mejeriprodukter"
244,3122,"Arbetsledare, metallarbete"
245,3122,"Arbetsledare, montering"
246,3122,"Arbetsledare, montering övrig tillverkning"
247,3121,"Arbetsledare, mureri"
248,3121,"Arbetsledare, måleri"
249,3122,"Arbetsledare, packning, påfyllning och märkning"
250,3122,"Arbetsledare, pappersbruk"
251,3122,"Arbetsledare, pappersprodukter"
252,3121,"Arbetsledare, rivning"
253,6210,"Arbetsledare, skogvaktare"
254,3121,"Arbetsledare, ställningsbygge"
255,3122,"Arbetsledare, textilfärgning"
256,3122,"Arbetsledare, textilindustri"
257,3122,"Arbetsledare, tobaksindustri"
258,3122,"Arbetsledare, tryckeri"
259,3122,"Arbetsledare, vävning och stickning"
260,xxxx,"Arbetsledare, övrig (SSYK klassificeras som underställd personal)"
261,2422,Arbetsmarknadshandläggare
262,1230,Arbetsmarknadsråd
263,2422,Arbetsmarknadssamordnare
264,2422,Arbetsmarknadssekreterare
265,2181,Arbetsmiljöhandläggare
266,2181,Arbetsmiljöingenjör
267,2181,Arbetsmiljöinspektör
268,2181,Arbetsmiljökonsulent
269,4430,Arbetsplatsombud
270,2241,Arbetspsykolog
271,2614,Arbetsrättsjurist
272,2273,Arbetsterapeut
273,5349,Arbetsterapibiträde
274,3333,Arbetsvägledare
275,6113,Arborist
276,7223,Arborrare
277,7212,Arcatomsvetsare
278,3322,"Area manager, försäljning"
279,xxxx,"Area manager, övrig (klassificeras efter arbetsuppgifter o. inriktning)"
280,3322,Area sales manager
281,7212,Argonbågsvetsare
282,8172,Arkare
283,2623,Arkeolog
284,4410,Arkeologbiträde
285,2161,Arkitekt
286,2622,Arkivamanuens
287,4410,Arkivarbetare
288,2622,Arkivarie
289,4410,Arkivassistent
290,4410,Arkivbiträde
291,1591,"Arkivchef, funktions- eller mellanchef"
292,1592,"Arkivchef, verksamhetsnära chef"
293,3431,Arkivfotograf
294,2622,Arkivföreståndare
295,4410,Arkivkanslist
296,2359,Arkivpedagog
297,2622,Arkivråd
298,8172,Arkmaskinförare
299,7322,Arkoffsettryckare
300,8172,Arkskärare
301,7319,"Armaturmontör, porslin"
302,0110,Arméchef
303,3114,Arméingenjör
304,0110,Arméofficer
305,8114,"Armerare, betongvaruindustri"
306,7113,"Armerare, bygg och anläggning"
307,7215,Armeringsmontör
308,8161,Aromblandare
309,2652,"Arrangör, klassisk musik"
310,2652,"Arrangör, populärmusik"
311,3339,Arrangörsutvecklare
312,6130,"Arrendator, blandad drift"
313,6111,"Arrendator, blandade växtslag"
314,6121,"Arrendator, uppfödning, lantbrukets husdjur"
315,6111,"Arrendator, växtodling"
316,5412,Arrestvakt
317,2172,Art director 
318,2652,"Artist, populärmusik"
319,3339,Artistagent
320,3339,Artistbokare
321,3339,Artistförmedlare
322,3339,Artistproducent
323,3339,Artistutvecklare
324,7134,Asbestsanerare
325,8131,Asepttekniker
326,8114,"Asfaltarbetare, asfaltframställning"
327,7114,"Asfaltarbetare, asfaltläggning"
328,8342,"Asfaltarbetare, maskinförare"
329,7114,Asfaltisolerare
330,8114,Asfaltkokare
331,7114,Asfaltläggare
332,8342,Asfaltmaskinförare
333,8114,"Asfaltmaskinist, asfaltframställning"
334,8342,"Asfaltmaskinist, maskinförare"
335,8114,"Asfaltverksmaskinist, asfaltframställning"
336,8342,"Asfaltverksmaskinist, maskinförare"
337,8114,"Asfaltverksskötare, asfaltframställning"
338,8342,"Asfaltverksskötare, maskinförare"
339,2612,Assessor
340,3432,"Assistent, AD-"
341,5343,"Assistent, ADL"
342,4410,"Assistent, bibliotek"
343,4119,"Assistent, bostadsförmedling"
344,4115,"Assistent, inköp, orderbehandling"
345,2613,Assistentåklagare
346,2221,Astmasjuksköterska
347,2221,Astmasköterska
348,2111,Astronom
349,2422,Asylhandläggare
350,3432,Ateljédekoratör
351,3431,Ateljéfotograf
352,7522,Ateljésnickare
353,7531,Ateljésömmerska
354,2213,AT-läkare
355,2111,Atomfysiker
356,2422,Attaché
357,2260,AT-tandläkare
358,9629,Attraktionsförare
359,9629,Attraktionsvärd
360,7319,Attributmakare
361,3433,Attributör
362,2421,AU-chef
363,2211,"Audiolog, medicinsk"
364,3211,"Audiolog, teknisk"
365,3214,Audiologiingenjör
366,5349,Audiometris
367,2283,Audionom
368,2619,Auditör
369,3339,Auktionist
370,9629,Auktionsbiträde
371,3339,Auktionsförrättare
372,3339,Auktionskommissarie
373,9629,Auktionsmedhjälpare
374,3339,Auktionsutropare
375,9629,Auktionsvaktmästare
376,2419,Auktoriserad fastighetsvärderare 
377,3313,Auktoriserad redovisningskonsult
378,2411,Auktoriserad revisor
379,9119,Au-pair
380,8192,"Autoklavskötare, kemisk produktion"
381,8161,"Autoklavskötare, livsmedel"
382,7412,Automationselektriker
383,3113,"Automationstekniker, el"
384,3113,"Automationstekniker, elektronik"
385,8199,"Automationstekniker, installation o. service industrirobotar"
386,3114,"Automationstekniker, maskin"
387,7420,"Automationstekniker, ospec"
388,7223,"Automatpressare, metall"
389,9629,"Automatpåfyllare, varuautomater m.m."
390,9629,"Automatskötare, varor"
391,7223,"Automatskötare, verkstad"
392,7223,Automatställare
393,7223,Automatsvarvare
394,7223,Automatsvetsare
395,7231,Autotekniker
396,2421,AU-utredare
397,6130,"Avbytare, blandad drift"
398,6111,"Avbytare, blandade växter"
399,6121,"Avbytare, djurskötsel"
400,6111,"Avbytare, lantbruk"
401,1611,"Avdelningschef, bank, funktions- eller mellanchef"
402,1612,"Avdelningschef, bank, verksamhetsnära chef"
403,3322,"Avdelningschef, företagsförsäljning"
404,5221,"Avdelningschef, försäljning dagligvaror "
405,5221,"Avdelningschef, försäljning fackhandel "
406,1251,"Avdelningschef, försäljningschef, funktions- eller mellanchef"
407,xxxx,"Avdelningschef, kommunal förvaltning (SSYK klassificeras efter arb.uppg.)"
408,1230,"Avdelningschef, landstingsförvaltning"
409,5221,"Avdelningschef, partihandel"
410,1230,"Stabschef, statlig förvaltning"
411,5221,"Avdelningschef, varuhus, försäljningsavdelning "
412,1731,"Avdelningschef, varuhus, platschef, funktions- eller mellanchef"
413,1732,"Avdelningschef, varuhus, platschef, verksamhetsnära chef"
414,1512,"Avdelningschef, vårdavdelning/mottagning, verksamhetsnära chef"
415,xxxx,"Avdelningschef, övrig (se resp. yrke)"
416,xxxx,"Avdelningsdirektör (för SSYK se resp. yrke, yrkesområde 2)"
417,1512,"Avdelningsföreståndare, vårdavdelning/mottagning, verksamhetsnära chef"
418,xxxx,"Avdelningsföreståndare, övrig (se resp. yrke)"
419,2211,Avdelningsläkare
420,8121,Avfettare
421,8129,Avgjutare
422,3153,Aviatör
423,7311,Avionikmekaniker
424,8342,Avisare
425,8342,Avisningsmaskinförare
426,4430,Avlastningsförälder
427,4112,Avlöningskontorist
428,4112,Avlöningsuträknare
429,5349,Avlösare
430,9320,"Avplockare, keramikbränning"
431,2654,AV-producent
432,7613,Avsmakare
433,2654,Avsnittsproducent
434,3230,Avspänningspedagog
435,3230,Avspänningsterapeut
436,8114,"Avsynare, betongvaror"
437,7323,"Avsynare, bokbinderi"
438,7224,"Avsynare, borrstål"
439,8212,"Avsynare, elkrafttekn. produkter"
440,8212,"Avsynare, el-tele"
441,7311,"Avsynare, finmekanik"
442,7224,"Avsynare, gjutgods"
443,7319,"Avsynare, glas- och keramikprodukter"
444,7312,"Avsynare, guld- och silverprodukter"
445,8141,"Avsynare, gummiprodukter"
446,8132,"Avsynare, kemiska produkter"
447,8163,"Avsynare, konfektyr"
448,8159,"Avsynare, lädervaror"
449,8162,"Avsynare, mejeriprodukter"
450,8121,"Avsynare, metalliserare"
451,7224,"Avsynare, metallprodukter"
452,7319,"Avsynare, musikinstrument"
453,8143,"Avsynare, pappersprodukter"
454,8142,"Avsynare, plastprodukter"
455,8159,"Avsynare, skor"
456,7224,"Avsynare, smide"
457,8116,"Avsynare, stenprodukter"
458,7224,"Avsynare, stål"
459,8173,"Avsynare, sågverk"
460,8169,"Avsynare, tobaksvaror"
461,8173,"Avsynare, träfiberindustri"
462,7522,"Avsynare, träprodukter"
463,8151,"Avsynare, tyger"
464,7531,"Avsynare, tygkonfektion"
465,8159,"Avtagare, spinneri"
466,1113,"Avtalssekreterare, intresseorganisation"
467,2615,"Avtalssekreterare, kommun"
468,3522,AV-tekniker
469,2135,Avverkningsledare
470,8341,Avverkningsmaskinförare
471,2135,Avverkningsplanerare
472,3422,Babysiminstruktör
473,3521,Backlinetekniker
474,4113,Backoffice-personal
475,5419,Badbevakare
476,5419,Badbiträde
477,5349,"Baderska, sjukhem"
478,5349,"Baderska, sjukhus"
479,1741,"Badföreståndare, funktions- eller mellanchef"
480,1742,"Badföreståndare, verksamhetsnära chef"
481,5230,Badhuskassör
482,3422,Badmintontränare
483,5419,Badmästare
484,5419,Badvakt
485,5152,Badvaktmästare
486,5419,Badvärd
487,9622,Bagagevaktmästare
488,7612,Bagare
489,8163,Bageriarbetare
490,2131,"Bakteriolog, forskare"
491,2211,"Bakteriolog, klinisk"
492,2653,Balettdansör
493,2653,Balettmästare
494,2653,Balettrepetitör
495,3153,Ballongflygare
496,8181,Balpressare
497,9412,Bambatant
498,6113,"Banarbetare, golfbana"
499,7114,"Banarbetare, järnväg"
500,2622,Bandarkivarie
501,8342,Bandlastarförare
502,8342,Bandschaktarförare
503,7223,"Bandsågare, metall"
504,8173,"Bandsågare, sågverk"
505,8173,"Bandsågare, träfiberskivor"
506,8342,Bandtraktorförare
507,8122,Bandvalsare
508,8159,Bandvävare
509,3422,Bandydomare
510,3421,Bandyspelare
511,8312,Bangårdsarbetare
512,8312,Bangårdsoperatör
513,3354,"Baninspektör, järnväg"
514,1612,"Bankchef, verksamhetsnära chef"
515,1611,"Bankchef, funktions- eller mellanchef"
516,1120,Bankdirektör
517,3312,Bankexpeditör
518,2422,Bankinspektör
519,2614,Bankjurist
520,2411,Bankkamrer
521,3312,Bankkassör
522,3312,Bankrådgivare
523,3312,Banksäljare
524,3312,Banktjänsteman
525,1321,"Banområdeschef, funktions- eller mellanchef"
526,1322,"Banområdeschef, verksamhetsnära chef"
527,3421,Banracingförare
528,7114,Banreparatör
529,7114,Bantekniker
530,3412,Baptistpastor
531,9412,Barbiträde
532,5132,Barchef
533,5132,Barista
534,8341,"Barkmaskinskötare, skogsbruk"
535,8173,"Barkmaskinskötare, sågverk"
536,8173,Barkpressare
537,5132,Barmästare
538,3423,Barn- och ungdomsledare
539,2330,"Barnavårdslärare, ej yrkesundervisning"
540,2320,"Barnavårdslärare, yrkesundervisning"
541,2622,Barnbibliotekarie
542,9119,"Barnflicka, privathem"
543,3422,Barngymnastikledare
544,5311,Barnhemsbiträde
545,1421,"Barnhemsföreståndare, funktions- eller mellanchef"
546,1422,"Barnhemsföreståndare, verksamhetsnära chef"
547,2211,Barnkirurg
548,3423,Barnkoloniledare
549,3423,"Barnkonsulent, församling"
550,3423,Barnkörledare
551,3423,"Barnledare, församling"
552,2211,Barnläkare
553,2222,Barnmorska
554,1112,"Barnombudsman, myndighet"
555,3411,Barnomsorgsassistent
556,3411,Barnomsorgsinspektör
557,3411,Barnomsorgssekreterare
558,9119,"Barnpassare, privathem"
559,2211,Barnpsykiater
560,2241,Barnpsykolog
561,5311,Barnsamarit
562,2232,Barnsjuksköterska
563,5311,Barnskötare
564,5311,"Barnsköterska, förskola"
565,5325,"Barnsköterska, sjukvård"
566,3411,Barnstugeassistent
567,3411,Barnstugekonsulent
568,2242,Barnterapeut
569,5311,Barntimmeledare
570,9119,Barnvakt
571,5311,"Barnvårdare, förskola"
572,2652,Barpianist
573,5132,Bartender
574,3421,Basketspelare
575,3422,Baskettränare
576,5419,Bassängvakt
577,8212,Batteriarbetare
578,8132,"Batteriskötare, elektrokemi"
579,2652,"Batterist, orkester"
580,9332,Baxare
581,2654,Bearbetningsproducent
582,2621,Bebyggelseantikvarie
583,2122,Befolkningsstatistiker
584,3331,Befraktare
585,4323,Befraktningsassistent
586,3331,Befraktningschef
587,3331,Befraktningsmäklare
588,3152,"Befälhavare, fartyg"
589,3351,"Befälhavare, kustbevakning"
590,5161,Begravningsassistent
591,5161,Begravningsbyråföreståndare
592,5161,Begravningsentreprenör
593,5161,Begravningsrepresentant
594,5161,Begravningsrådgivare
595,3411,"Behandlingsassistent, ansvar för utredning o. stödåtgärder"
596,5342,"Behandlingsassistent, vårdare "
597,3411,Behandlingspedagog
598,3411,Behandlingssamordnare
599,3411,Behandlingsterapeut
600,2663,Behovsbedömare
601,9622,Bellboy
602,3522,Belysningsmästare
603,3522,Belysningstekniker
604,7114,Beläggningsarbetare
605,8342,Beläggningsmaskinförare
606,4119,"Bemanningsassistent, schemaläggare"
607,7319,Benmakare
608,5225,Bensinmacksbiträde
609,5221,Bensinmacksföreståndare
610,5225,Bensinstationsarbetare
611,5225,Bensinstationsbiträde
612,5221,Bensinstationsföreståndare
613,3112,"Beredningsingenjör, bygg och anläggning"
614,3113,"Beredningsingenjör, elektronik"
615,3113,"Beredningsingenjör, elkraft"
616,3116,"Beredningsingenjör, gruva/metallurgi"
617,3115,"Beredningsingenjör, kemiteknik"
618,3114,"Beredningsingenjör, maskin"
619,3113,"Beredningsingenjör, telekommunikation"
620,3119,"Beredningsingenjör, textil, trä m.m."
621,2619,Beredningsjurist
622,8111,Bergarbetare
623,8111,Bergförstärkare
624,2114,Berggrundsgeolog
625,8111,Bergoperatör
626,2146,Bergsingenjör
627,8115,Bergsprängare
628,8342,Bergtruckförare
629,3421,Beridare
630,2142,"Beräkningsingenjör (bygg), civilingenjör"
631,3112,"Beräkningsingenjör (bygg), högskoleingenjör"
632,2143,"Beräkningsingenjör (elektronik), civilingenjör "
633,3113,"Beräkningsingenjör (elektronik), högskoleingenjör"
634,2143,"Beräkningsingenjör (elkraft), civilingenjör"
635,3113,"Beräkningsingenjör (elkraft), högskoleingenjör"
636,2144,"Beräkningsingenjör (maskin), civilingenjör"
637,3114,"Beräkningsingenjör (maskin), högskoleingenjör"
638,2143,"Beräkningsingenjör (telekommunikation), civilingenjör"
639,3113,"Beräkningsingenjör (telekommunikation), högskoleingenjör"
640,7613,Besiktningsassistent
641,5411,Besiktningsbrandmästare
642,3354,"Besiktningsingenjör, bilprovning"
643,3113,"Besiktningsingenjör, elkraft"
644,3314,"Besiktningsingenjör, försäkring"
645,3354,"Besiktningsingenjör, säkerhet"
646,xxxx,"Besiktningsingenjör, övrig (se Kvalitetsingenjör)"
647,3335,"Besiktningsman, fastighet"
648,3354,"Besiktningsman, fordon"
649,3314,"Besiktningsman, försäkring"
650,5152,"Besiktningsman, lägenhet"
651,7613,"Besiktningsman, matpotatis"
652,3355,"Besiktningsman, ventilation"
653,3354,"Besiktningstekniker, bilprovningen"
654,3354,"Besiktningstekniker, fordon"
655,2250,Besiktningsveterinär
656,1112,Beskickningschef
657,9412,Bespisningsbiträde
658,8172,Bestrykningsmaskinförare
659,3323,Beställaransvarig
660,3339,Beställningsfaktor
661,4115,Beställningskontorist
662,4223,Beställningsoperatör
663,4222,Besöksbokare
664,2432,Besökschef
665,4226,Besöksintervjuare
666,8121,Betare
667,5169,Betjänt
668,7113,"Betongarbetare, bygg och anläggning"
669,8114,"Betongarbetare, tillverkning"
670,7113,Betongarmerare
671,8114,Betongblandare
672,7113,Betongborrare
673,7119,Betongdemolerare
674,7119,Betongelementmontör
675,8114,Betonggjutare
676,7113,Betonghåltagare
677,3112,Betongingenjör
678,8114,Betongmaskinist
679,8332,Betongpumpförare
680,7113,Betongsprutare
681,8114,Betongstationsskötare
682,8114,Betongvaruarbetare
683,7522,"Betsare, trä"
684,5412,Bevakningsföreståndare
685,5419,"Bevakningsman, järnväg"
686,5413,"Bevakningsman, väktare"
687,7125,Bevattningsmontör
688,3431,B-fotograf
689,2622,Bibliotekarie
690,4410,Biblioteksassistent
691,4410,Biblioteksbiträde
692,1591,"Bibliotekschef, funktions- eller mellanchef"
693,1592,"Bibliotekschef, verksamhetsnära chef"
694,4410,Bibliotekskanslist
695,2622,Bibliotekskonsulent
696,4410,Bibliotekskontorist
697,1591,"Biblioteksråd, funktions- eller mellanchef"
698,1592,"Biblioteksråd, verksamhetsnära chef"
699,9622,Biblioteksvaktmästare
700,3353,"Bidragssekreterare, försäkringskassa"
701,7312,Bijouteriarbetare
702,8211,"Bilarbetare, montering"
703,3354,Bilbesiktningsingenjör
704,3354,Bilbesiktningsman
705,8211,Bilbyggare
706,8332,Bilbärgare
707,7321,Bild- och reprografiker
708,3119,Bildanalytiker
709,2622,Bildarkivarie
710,3431,Bildbehandlare
711,7231,Bildelsspecialist
712,9610,Bildemonterare
713,9610,Bildemontör
714,7321,Bildhanterare
715,2651,"Bildhuggare, konstnär"
716,2651,"Bildhuggare, sten"
717,7522,"Bildhuggare, trä"
718,3521,Bildingenjör
719,4323,Bildirigent
720,3431,Bildjournalist
721,2651,Bildkonstnär
722,2330,"Bildlärare, gymnasieskola"
723,2341,"Bildlärare, grundskola"
724,3521,Bildmixer
725,3521,Bildmixertekniker
726,2351,Bildningskonsulent
727,7321,Bildoperatör
728,2359,Bildpedagog
729,3521,Bildproducent
730,2642,Bildredaktör
731,3431,Bildredigerare
732,7321,Bildskärmssättare
733,3521,Bildtekniker
734,2289,Bildterapeut
735,7412,Bilelektriker
736,8329,Bilförare
737,3421,"Bilförare, tävling"
738,5223,Bilförsäljare
739,9120,"Bilförädlare, bilvård"
740,7124,Bilglasmontör
741,3354,Bilinspektör
742,5230,Biljettförsäljare
743,5230,Biljettkassörska
744,5413,Biljettkontrollant
745,9622,Biljettmottagare
746,4221,"Biljettör, resebyrå"
747,2144,Bilkonstruktör
748,7132,"Billackerare, reparation"
749,7132,"Billackerare, tillverkning"
750,7420,Billarmsinstallatör
751,8332,Billots
752,7231,Bilmekaniker
753,8211,Bilmonterare
754,7231,"Bilmontör, reparation"
755,8211,"Bilmontör, tillverkning"
756,8211,Bilmotormontör
757,7231,Bilmotorreparatör
758,7214,Bilplåtslagare
759,9120,Bilpolerare
760,3354,Bilprovare
761,3421,Bilrallyförare
762,9120,Bilrekondare
763,9120,Bilrekonditionerare
764,7231,Bilreparatör
765,7231,Bilreservdelsman
766,7533,Bilsadelmakare
767,3314,"Bilskadeinspektör, försäkring"
768,3314,Bilskadereglerare
769,7214,"Bilskadereparatör, plåt"
770,3441,Bilskollärare
771,9610,Bilskrotare
772,7533,Biltapetserare
773,7231,Biltekniker
774,3354,Biltestare
775,8329,Biltestförare
776,9120,Biltvättare
777,5226,Biluthyrare
778,3339,Bilverkmästare
779,9120,Bilvårdare
780,3339,Bilvårdschef
781,9120,"Bilvårdsman, diverse bensinmack"
782,5230,"Bilvårdsman, kassaarbete"
